,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
76,Basmathi 1Kg Monsoon,Pantry Staples,Rice,1.75,2.990000000000001,1.2399999999999995,19.0,56.810000000000024,23.55999999999999
300,Derana Anguluwa Dried Fish 200G,Pantry Staples,Condiments,3.75,4.75,1.0,19.0,90.25,19.0
383,Derana Suduru Samba 1Kg,Pantry Staples,Rice,3.399999999999999,4.989999999999999,1.59,19.0,94.81,30.21
463,Fried Sprats 160G Kandy,Pantry Staples,Sardines,5.0,6.5,1.5,19.0,123.5,28.5
436,Fava Beans 500G,Pantry Staples,Grains And Pulses,1.1999999999999997,2.5,1.3000000000000003,19.0,47.5,24.700000000000006
346,Derana Kohila Curry,Pantry Staples,Sauces,3.7999999999999985,4.89,1.09,19.0,92.91,20.71
970,Sinhala Pickle 375G Md,Pantry Staples,Pickle,2.75,3.990000000000001,1.2399999999999995,18.0,71.82000000000002,22.319999999999993
678,Md Tomato Sauce,Pantry Staples,Sauces,2.75,3.5,0.75,18.0,63.0,13.5
1092,Vss Virgin Coconut Oil 500G,Pantry Staples,Oil,6.400000000000001,7.489999999999998,1.09,18.0,134.81999999999996,19.62
414,Dried Thalapath 200G Derana,Pantry Staples,Dried Fish,5.950000000000002,7.5,1.5500000000000005,18.0,135.0,27.90000000000001
77,Basmathi Rice Golden Sella 1Kg,Pantry Staples,Rice,2.899999999999999,3.9900000000000015,1.09,18.0,71.82000000000001,19.62
344,Derana Keeri Samba 5Kg,Pantry Staples,Rice,13.599999999999996,17.5,3.8999999999999995,18.0,315.0,70.19999999999999
826,Pepper Crushed 100G,Pantry Staples,Sauces,2.3500000000000005,3.5,1.1499999999999997,18.0,63.0,20.699999999999996
324,Derana Dry Seeni Samble 325G,Pantry Staples,Sauce,4.950000000000001,6.489999999999998,1.5399999999999996,18.0,116.81999999999996,27.71999999999999
666,Md Green Chilli Sauce,Pantry Staples,Sauce,2.75,3.5,0.75,18.0,63.0,13.5
102,Black Pepper Whole100G,Pantry Staples,Spices,1.1,2.7181818179999997,1.618181818,18.0,48.927272724,29.127272724
225,Cloves Whole 30G,Pantry Staples,Spices,1.1999999999999997,2.990000000000001,1.7899999999999996,18.0,53.82000000000002,32.21999999999999
377,Derana Ros /Rice Flr Red 1Kg,Pantry Staples,Flour,2.1999999999999997,2.899999999999999,0.6999999999999998,18.0,52.19999999999999,12.599999999999998
1043,Thalapath 150G Richmi,Pantry Staples,Dried Fish,5.599999999999999,7.5,1.8999999999999995,17.0,127.5,32.29999999999999
1023,Tamarind 200G,Pantry Staples,Spices,1.5,2.5,1.0,17.0,42.5,17.0
322,Derana Curry Powder 500G,Pantry Staples,Spices,3.899999999999999,5.1,1.1999999999999997,17.0,86.69999999999999,20.399999999999995
341,Derana Katta Curry 325G,Pantry Staples,Sauces,4.9,6.989999999999998,2.09,17.0,118.82999999999997,35.53
991,Sprats Ready To Cook,Pantry Staples,Sardines,5.200000000000001,6.989999999999998,1.7899999999999994,17.0,118.82999999999997,30.42999999999999
312,Derana Chilli Pieces 500G,Pantry Staples,Spices,3.899999999999999,5.1,1.1999999999999997,16.0,81.6,19.199999999999996
69,Basil Seed 100G(Casa Casa),Pantry Staples,Spices,3.0,3.9900000000000015,0.9900000000000001,16.0,63.840000000000025,15.840000000000002
